re;area
гулькевичск[и|о][й|г|м][о|у]?;Гулькевичский р-н
ейск[и|о][й|г|м][о|у]?;Ейский р-н
кореновск[и|о][й|г|м][о|у]?;Кореновский р-н
кавказск[и|о][й|г|м][о|у]?;Кавказский р-н
крымск[и|о][й|г|м][о|у]?;Крымский р-н
курганинск[и|о][й|г|м][о|у]?;Курганинский р-н
лабинск[и|о][й|г|м][о|у]?;Лабинский р-н
новокубанск[и|о][й|г|м][о|у]?;Новокубанский р-н
приморско-ахтарск[и|о][й|г|м][о|у]?;Приморско-Ахтарский р-н
славянск[и|о][й|г|м][о|у]?;Славянский р-н
темрюкск[и|о][й|г|м][о|у]?;Темрюкский р-н
тимашевск[и|о][й|г|м][о|у]?;Тимашевский р-н
тихорецк[и|о][й|г|м][о|у]?;Тихорецкий р-н
туапсинск[и|о][й|г|м][о|у]?;Туапсинский р-н
усть-лабинск[и|о][й|г|м][о|у]?;Усть-Лабинский р-н
курагинск[и|о][й|г|м][о|у]?;Курагинский р-н
таймырск[и|о][й|г|м][о|у]? ;Таймырский Долгано-Ненецкий р-н
рыбинск[и|о][й|г|м][о|у]?;Рыбинский р-н
туруханск[и|о][й|г|м][о|у]?;Туруханский р-н
иланск[и|о][й|г|м][о|у]?;Иланский р-н
кежемск[и|о][й|г|м][о|у]?;Кежемский р-н
ужурск[и|о][й|г|м][о|у]?;Ужурский р-н
уярск[и|о][й|г|м][о|у]?;Уярский р-н
бахчисарайск[и|о][й|г|м][о|у]?;Бахчисарайский р-н
белогорск[и|о][й|г|м][о|у]?;Белогорский р-н
далматовск[и|о][й|г|м][о|у]?;Далматовский р-н
катайск[и|о][й|г|м][о|у]?;Катайский р-н
куртамышск[и|о][й|г|м][о|у]?;Куртамышский р-н
макушинск[и|о][й|г|м][о|у]?;Макушинский р-н
петуховск[и|о][й|г|м][о|у]?;Петуховский р-н
шумихинск[и|о][й|г|м][о|у]?;Шумихинский р-н
щучанск[и|о][й|г|м][о|у]?;Щучанский р-н
дмитриевск[и|о][й|г|м][о|у]?;Дмитриевский р-н
обоянск[и|о][й|г|м][о|у]?;Обоянский р-н
рыльск[и|о][й|г|м][о|у]?;Рыльский р-н
суджанск[и|о][й|г|м][о|у]?;Суджанский р-н
фатежск[и|о][й|г|м][о|у]?;Фатежский р-н
бокситогорск[и|о][й|г|м][о|у]?;Бокситогорский р-н
волосовск[и|о][й|г|м][о|у]?;Волосовский р-н
волховск[и|о][й|г|м][о|у]?;Волховский р-н
всеволожск[и|о][й|г|м][о|у]?;Всеволожский р-н
выборгск[и|о][й|г|м][о|у]?;Выборгский р-н
гатчинск[и|о][й|г|м][о|у]?;Гатчинский р-н
кингисеппск[и|о][й|г|м][о|у]?;Кингисеппский р-н
киришск[и|о][й|г|м][о|у]?;Киришский р-н
лодейнопольск[и|о][й|г|м][о|у]?;Лодейнопольский р-н
лужск[и|о][й|г|м][о|у]?;Лужский р-н
тосненск[и|о][й|г|м][о|у]?;Тосненский р-н
подпорожск[и|о][й|г|м][о|у]?;Подпорожский р-н
приозерск[и|о][й|г|м][о|у]?;Приозерский р-н
сланцевск[и|о][й|г|м][о|у]?;Сланцевский р-н
тихвинск[и|о][й|г|м][о|у]?;Тихвинский р-н
грязинск[и|о][й|г|м][о|у]?;Грязинский р-н
данковск[и|о][й|г|м][о|у]?;Данковский р-н
задонск[и|о][й|г|м][о|у]?;Задонский р-н
лебедянск[и|о][й|г|м][о|у]?;Лебедянский р-н
усманск[и|о][й|г|м][о|у]?;Усманский р-н
чаплыгинск[и|о][й|г|м][о|у]?;Чаплыгинский р-н
сусуманск[и|о][й|г|м][о|у]?;Сусуманский р-н
звениговск[и|о][й|г|м][о|у]?;Звениговский р-н
ардатовск[и|о][й|г|м][о|у]?;Ардатовский р-н
инсарск[и|о][й|г|м][о|у]?;Инсарский р-н
краснослободск[и|о][й|г|м][о|у]?;Краснослободский р-н
темниковск[и|о][й|г|м][о|у]?;Темниковский р-н
печенгск[и|о][й|г|м][о|у]?;Печенгский р-н
кандалакшск[и|о][й|г|м][о|у]?;Кандалакшский р-н
ковдорск[и|о][й|г|м][о|у]?;Ковдорский р-н
кольск[и|о][й|г|м][о|у]?;Кольский р-н
балахнинск[и|о][й|г|м][о|у]?;Балахнинский р-н
богородск[и|о][й|г|м][о|у]?;Богородский р-н
ветлужск[и|о][й|г|м][о|у]?;Ветлужский р-н
володарск[и|о][й|г|м][о|у]?;Володарский р-н
городецк[и|о][й|г|м][о|у]?;Городецкий р-н
княгининск[и|о][й|г|м][о|у]?;Княгининский р-н
кстовск[и|о][й|г|м][о|у]?;Кстовский р-н
лукояновск[и|о][й|г|м][о|у]?;Лукояновский р-н
лысковск[и|о][й|г|м][о|у]?;Лысковский р-н
сергачск[и|о][й|г|м][о|у]?;Сергачский р-н
уренск[и|о][й|г|м][о|у]?;Уренский р-н
чкаловск[и|о][й|г|м][о|у]?;Чкаловский р-н
боровичск[и|о][й|г|м][о|у]?;Боровичский р-н
валдайск[и|о][й|г|м][о|у]?;Валдайский р-н
маловишерск[и|о][й|г|м][о|у]?;Маловишерский р-н
окуловск[и|о][й|г|м][о|у]?;Окуловский р-н
пестовск[и|о][й|г|м][о|у]?;Пестовский р-н
солецк[и|о][й|г|м][о|у]?;Солецкий р-н
старорусск[и|о][й|г|м][о|у]?;Старорусский р-н
холмск[и|о][й|г|м][о|у]?;Холмский р-н
чудовск[и|о][й|г|м][о|у]?;Чудовский р-н
барабинск[и|о][й|г|м][о|у]?;Барабинский р-н
болотнинск[и|о][й|г|м][о|у]?;Болотнинский р-н
карасукск[и|о][й|г|м][о|у]?;Карасукский р-н
каргатск[и|о][й|г|м][о|у]?;Каргатский р-н
куйбышевск[и|о][й|г|м][о|у]?;Куйбышевский р-н
купинск[и|о][й|г|м][о|у]?;Купинский р-н
татарск[и|о][й|г|м][о|у]?;Татарский р-н
тогучинск[и|о][й|г|м][о|у]?;Тогучинский р-н
черепановск[и|о][й|г|м][о|у]?;Черепановский р-н
чулымск[и|о][й|г|м][о|у]?;Чулымский р-н
исилькульск[и|о][й|г|м][о|у]?;Исилькульский р-н
калачинск[и|о][й|г|м][о|у]?;Калачинский р-н
называевск[и|о][й|г|м][о|у]?;Называевский р-н
тарск[и|о][й|г|м][о|у]?;Тарский р-н
тюкалинск[и|о][й|г|м][о|у]?;Тюкалинский р-н
абдулинск[и|о][й|г|м][о|у]?;Абдулинский р-н
соль-илецк[и|о][й|г|м][о|у]?;Соль-Илецкий р-н
болховск[и|о][й|г|м][о|у]?;Болховский р-н
дмитровск[и|о][й|г|м][о|у]?;Дмитровский р-н
малоархангельск[и|о][й|г|м][о|у]?;Малоархангельский р-н
новосильск[и|о][й|г|м][о|у]?;Новосильский р-н
белинск[и|о][й|г|м][о|у]?;Белинский р-н
городищенск[и|о][й|г|м][о|у]?;Городищенский р-н
нижнеломовск[и|о][й|г|м][о|у]?;Нижнеломовский р-н
сердобск[и|о][й|г|м][о|у]?;Сердобский р-н
спасск[и|о][й|г|м][о|у]?;Спасский р-н
верещагинск[и|о][й|г|м][о|у]?;Верещагинский р-н
горнозаводск[и|о][й|г|м][о|у]?;Горнозаводский р-н
красновишерск[и|о][й|г|м][о|у]?;Красновишерский р-н
нытвенск[и|о][й|г|м][о|у]?;Нытвенский р-н
осинск[и|о][й|г|м][о|у]?;Осинский р-н
оханск[и|о][й|г|м][о|у]?;Оханский р-н
очерск[и|о][й|г|м][о|у]?;Очерский р-н
усольск[и|о][й|г|м][о|у]?;Усольский р-н
чердынск[и|о][й|г|м][о|у]?;Чердынский р-н
ильинск[и|о][й|г|м][о|у]?;Ильинский р-н
чернушинск[и|о][й|г|м][о|у]?;Чернушинский р-н
гдовск[и|о][й|г|м][о|у]?;Гдовский р-н
дновск[и|о][й|г|м][о|у]?;Дновский р-н
невельск[и|о][й|г|м][о|у]?;Невельский р-н
новоржевск[и|о][й|г|м][о|у]?;Новоржевский р-н
новосокольническ[и|о][й|г|м][о|у]?;Новосокольнический р-н
опочецк[и|о][й|г|м][о|у]?;Опочецкий р-н
островск[и|о][й|г|м][о|у]?;Островский р-н
печорск[и|о][й|г|м][о|у]?;Печорский р-н
порховск[и|о][й|г|м][о|у]?;Порховский р-н
пустошкинск[и|о][й|г|м][о|у]?;Пустошкинский р-н
пыталовск[и|о][й|г|м][о|у]?;Пыталовский р-н
себежск[и|о][й|г|м][о|у]?;Себежский р-н
аксайск[и|о][й|г|м][о|у]?;Аксайский р-н
белокалитвинск[и|о][й|г|м][о|у]?;Белокалитвинский р-н
зерноградск[и|о][й|г|м][о|у]?;Зерноградский р-н
константиновск[и|о][й|г|м][о|у]?;Константиновский р-н
красносулинск[и|о][й|г|м][о|у]?;Красносулинский р-н
миллеровск[и|о][й|г|м][о|у]?;Миллеровский р-н
морозовск[и|о][й|г|м][о|у]?;Морозовский р-н
пролетарск[и|о][й|г|м][о|у]?;Пролетарский р-н
сальск[и|о][й|г|м][о|у]?;Сальский р-н
семикаракорск[и|о][й|г|м][о|у]?;Семикаракорский р-н
цимлянск[и|о][й|г|м][о|у]?;Цимлянский р-н
кораблинск[и|о][й|г|м][о|у]?;Кораблинский р-н
михайловск[и|о][й|г|м][о|у]?;Михайловский р-н
пронск[и|о][й|г|м][о|у]?;Пронский р-н
рыбновск[и|о][й|г|м][о|у]?;Рыбновский р-н
ряжск[и|о][й|г|м][о|у]?;Ряжский р-н
клепиковск[и|о][й|г|м][о|у]?;Клепиковский р-н
шацк[и|о][й|г|м][о|у]?;Шацкий р-н
нефтегорск[и|о][й|г|м][о|у]?;Нефтегорский р-н
аркадакск[и|о][й|г|м][о|у]?;Аркадакский р-н
ершовск[и|о][й|г|м][о|у]?;Ершовский р-н
калининск[и|о][й|г|м][о|у]?;Калининский р-н
краснокутск[и|о][й|г|м][о|у]?;Краснокутский р-н
новоузенск[и|о][й|г|м][о|у]?;Новоузенский р-н
петровск[и|о][й|г|м][о|у]?;Петровский р-н
александровск-сахалинск[и|о][й|г|м][о|у]?;Александровск-Сахалинский р-н
анивск[и|о][й|г|м][о|у]?;Анивский р-н
долинск[и|о][й|г|м][о|у]?;Долинский р-н
корсаковск[и|о][й|г|м][о|у]?;Корсаковский р-н
курильск[и|о][й|г|м][о|у]?;Курильский р-н
макаровск[и|о][й|г|м][о|у]?;Макаровский р-н
охинск[и|о][й|г|м][о|у]?;Охинский р-н
поронайск[и|о][й|г|м][о|у]?;Поронайский р-н
северо-курильск[и|о][й|г|м][о|у]?;Северо-Курильский р-н
томаринск[и|о][й|г|м][о|у]?;Томаринский р-н
углегорск[и|о][й|г|м][о|у]?;Углегорский р-н
сысертск[и|о][й|г|м][о|у]?;Сысертский р-н
артемовск[и|о][й|г|м][о|у]?;Артемовский р-н
богдановичск[и|о][й|г|м][о|у]?;Богдановичский р-н
верхотурск[и|о][й|г|м][о|у]?;Верхотурский р-н
нижнесергинск[и|о][й|г|м][о|у]?;Нижнесергинский р-н
новолялинск[и|о][й|г|м][о|у]?;Новолялинский р-н
режевско[й|г|м][о|у]?;Режевской р-н
сухоложск[и|о][й|г|м][о|у]?;Сухоложский р-н
талицк[и|о][й|г|м][о|у]?;Талицкий р-н
туринск[и|о][й|г|м][о|у]?;Туринский р-н
алагирск[и|о][й|г|м][о|у]?;Алагирский р-н
ардонск[и|о][й|г|м][о|у]?;Ардонский р-н
правобережн[ы|о][й|г|м][о|у]?;Правобережный р-н
дигорск[и|о][й|г|м][о|у]?;Дигорский р-н
моздокск[и|о][й|г|м][о|у]?;Моздокский р-н
велижск[и|о][й|г|м][о|у]?;Велижский р-н
вяземск[и|о][й|г|м][о|у]?;Вяземский р-н
гагаринск[и|о][й|г|м][о|у]?;Гагаринский р-н
демидовск[и|о][й|г|м][о|у]?;Демидовский р-н
дорогобужск[и|о][й|г|м][о|у]?;Дорогобужский р-н
духовщинск[и|о][й|г|м][о|у]?;Духовщинский р-н
ельнинск[и|о][й|г|м][о|у]?;Ельнинский р-н
починковск[и|о][й|г|м][о|у]?;Починковский р-н
рославльск[и|о][й|г|м][о|у]?;Рославльский р-н
руднянск[и|о][й|г|м][о|у]?;Руднянский р-н
сафоновск[и|о][й|г|м][о|у]?;Сафоновский р-н
сычевск[и|о][й|г|м][о|у]?;Сычевский р-н
ярцевск[и|о][й|г|м][о|у]?;Ярцевский р-н
благодарненск[и|о][й|г|м][о|у]?;Благодарненский р-н
буденновск[и|о][й|г|м][о|у]?;Буденновский р-н
изобильненск[и|о][й|г|м][о|у]?;Изобильненский р-н
ипатовск[и|о][й|г|м][о|у]?;Ипатовский р-н
минераловодск[и|о][й|г|м][о|у]?;Минераловодский р-н
шпаковск[и|о][й|г|м][о|у]?;Шпаковский р-н
нефтекумск[и|о][й|г|м][о|у]?;Нефтекумский р-н
новоалександровск[и|о][й|г|м][о|у]?;Новоалександровский р-н
жердевск[и|о][й|г|м][о|у]?;Жердевский р-н
агрызск[и|о][й|г|м][о|у]?;Агрызский р-н
азнакаевск[и|о][й|г|м][о|у]?;Азнакаевский р-н
альметьевск[и|о][й|г|м][о|у]?;Альметьевский р-н
арск[и|о][й|г|м][о|у]?;Арский р-н
бавлинск[и|о][й|г|м][о|у]?;Бавлинский р-н
бугульминск[и|о][й|г|м][о|у]?;Бугульминский р-н
буинск[и|о][й|г|м][о|у]?;Буинский р-н
елабужск[и|о][й|г|м][о|у]?;Елабужский р-н
заинск[и|о][й|г|м][о|у]?;Заинский р-н
зеленодольск[и|о][й|г|м][о|у]?;Зеленодольский р-н
верхнеуслонск[и|о][й|г|м][о|у]?;Верхнеуслонский р-н
кукморск[и|о][й|г|м][о|у]?;Кукморский р-н
лаишевск[и|о][й|г|м][о|у]?;Лаишевский р-н
лениногорск[и|о][й|г|м][о|у]?;Лениногорский р-н
мамадышск[и|о][й|г|м][о|у]?;Мамадышский р-н
менделеевск[и|о][й|г|м][о|у]?;Менделеевский р-н
мензелинск[и|о][й|г|м][о|у]?;Мензелинский р-н
нижнекамск[и|о][й|г|м][о|у]?;Нижнекамский р-н
нурлатск[и|о][й|г|м][о|у]?;Нурлатский р-н
тетюшск[и|о][й|г|м][о|у]?;Тетюшский р-н
чистопольск[и|о][й|г|м][о|у]?;Чистопольский р-н
бежецк[и|о][й|г|м][о|у]?;Бежецкий р-н
бельск[и|о][й|г|м][о|у]?;Бельский р-н
бологовск[и|о][й|г|м][о|у]?;Бологовский р-н
зубцовск[и|о][й|г|м][о|у]?;Зубцовский р-н
калязинск[и|о][й|г|м][о|у]?;Калязинский р-н
конаковск[и|о][й|г|м][о|у]?;Конаковский р-н
кувшиновск[и|о][й|г|м][о|у]?;Кувшиновский р-н
лихославльск[и|о][й|г|м][о|у]?;Лихославльский р-н
старицк[и|о][й|г|м][о|у]?;Старицкий р-н
